o111 o111
19 0.0708607814
20 0.0005308543
21 0.0019974530
22 0.0062064399
23 0.0159248480
24 0.0337424410
25 0.0590401602
26 0.0853079317
27 0.1017894646
28 0.1002970374
29 0.0816103443
30 0.0006019416
31 0.0022649342
32 0.0070375514
33 0.0180573626
34 0.0382609299
35 0.0669462956
36 0.0967316145
37 0.1154202083
38 0.1137279284
39 0.0925388789
40 0.0006725291
41 0.0025305350
42 0.0078628199
43 0.0201748850
44 0.0427476525
45 0.0747968487
46 0.1080749856
47 0.1289551240
48 0.1270643966
49 0.1033905828
50 0.0007409879
51 0.0027881258
52 0.0086632001
53 0.0222285475
54 0.0470990650
55 0.0824106455
56 0.1190762643
57 0.1420818551
58 0.1399986648
59 0.1139150221
60 0.0008058356
61 0.0030321291
62 0.0094213618
63 0.0241738833
64 0.0512209492
65 0.0896228299
66 0.1294972478
67 0.1545161774
68 0.1522506763
69 0.1238843184
70 0.0008658319
71 0.0032578781
72 0.0101228037
73 0.0259736841
74 0.0550344659
75 0.0962954544
76 0.1391386139
77 0.1660202600
78 0.1635860872
79 0.1331077891
80 0.0009200466
81 0.0034618728
82 0.0107566513
83 0.0276000477
84 0.0584804941
85 0.1023250732
86 0.1478508921
87 0.1764157546
88 0.1738291640
89 0.1414424423
90 0.0009678955
91 0.0036419145
92 0.0113160729
93 0.0290354444
94 0.0615218915
95 0.1076466973
96 0.1555401793
97 0.1855906157
98 0.1828695042
99 0.1487984450
o111 o11
0 0.0001027889
1 0.0004575885
2 0.0016821003
3 0.0051059750
4 0.0127984487
5 0.0264904499
6 0.0452768193
7 0.0639025160
8 0.0744759510
9 0.0716754567
10 0.0001203251
11 0.0005356548
12 0.0019690729
13 0.0059770736
14 0.0149819121
15 0.0310098202
16 0.0530012148
17 0.0748045254
18 0.0871818282
19 0.0839035590
20 0.0001385783
21 0.0006169135
22 0.0022677807
23 0.0068837941
24 0.0172546645
25 0.0357140022
26 0.0610414859
27 0.0861523532
28 0.1004072899
29 0.0966317080
30 0.0001571355
31 0.0006995251
32 0.0025714619
33 0.0078056109
34 0.0195652563
35 0.0404965051
36 0.0692156211
37 0.0976891135
38 0.1138529449
39 0.1095717706
40 0.0001755622
41 0.0007815559
42 0.0028730080
43 0.0087209470
44 0.0218596041
45 0.0452453857
46 0.0773322899
47 0.1091447670
48 0.1272040733
49 0.1224208609
50 0.0001934332
51 0.0008611128
52 0.0031654602
53 0.0096086785
54 0.0240847591
55 0.0498510500
56 0.0852041769
57 0.1202549421
58 0.1401525596
59 0.1348824496
60 0.0002103616
61 0.0009364733
62 0.0034424860
63 0.0104495840
64 0.0261925417
65 0.0542137747
66 0.0926608378
67 0.1307790777
68 0.1524180393
69 0.1466867146
70 0.0002260235
71 0.0010061958
72 0.0036987870
73 0.0112275794
74 0.0281426363
75 0.0582501142
76 0.0995596489
77 0.1405158790
78 0.1637659107
79 0.1576078758
80 0.0002401761
81 0.0010691996
82 0.0039303896
83 0.0119306034
84 0.0299048105
85 0.0618974928
86 0.1057936579
87 0.1493143958
88 0.1740202473
89 0.1674766220
90 0.0002526670
91 0.0011248055
92 0.0041347975
93 0.0125510788
94 0.0314600712
95 0.0651165981
96 0.1112956729
97 0.1570797955
98 0.1830705252
99 0.1761865853
o111 o121
0 0.0000000013
1 0.0000000017
2 0.0000000020
3 0.0000000023
4 0.0000000024
5 0.0000000024
6 0.0000000023
7 0.0000000020
8 0.0000000017
9 0.0000000013
10 0.0000000032
11 0.0000000043
12 0.0000000052
13 0.0000000058
14 0.0000000061
15 0.0000000061
16 0.0000000058
17 0.0000000052
18 0.0000000043
19 0.0000000032
20 0.0000000080
21 0.0000000107
22 0.0000000130
23 0.0000000145
24 0.0000000152
25 0.0000000152
26 0.0000000145
27 0.0000000130
28 0.0000000107
29 0.0000000080
30 0.0000000195
31 0.0000000261
32 0.0000000315
33 0.0000000352
34 0.0000000369
35 0.0000000369
36 0.0000000352
37 0.0000000315
38 0.0000000261
39 0.0000000195
40 0.0000000463
41 0.0000000620
42 0.0000000749
43 0.0000000835
44 0.0000000877
45 0.0000000877
46 0.0000000835
47 0.0000000749
48 0.0000000620
49 0.0000000463
50 0.0000001075
51 0.0000001440
52 0.0000001739
53 0.0000001939
54 0.0000002035
55 0.0000002035
56 0.0000001939
57 0.0000001739
58 0.0000001440
59 0.0000001075
60 0.0000002440
61 0.0000003266
62 0.0000003947
63 0.0000004400
64 0.0000004618
65 0.0000004618
66 0.0000004400
67 0.0000003947
68 0.0000003266
69 0.0000002440
70 0.0000005412
71 0.0000007244
72 0.0000008753
73 0.0000009759
74 0.0000010241
75 0.0000010241
76 0.0000009759
77 0.0000008753
78 0.0000007244
79 0.0000005412
80 0.0000011731
81 0.0000015704
82 0.0000018975
83 0.0000021154
84 0.0000022200
85 0.0000022200
86 0.0000021154
87 0.0000018975
88 0.0000015704
89 0.0000011731
90 0.0000024857
91 0.0000033274
92 0.0000040205
93 0.0000044823
94 0.0000047038
95 0.0000047038
96 0.0000044823
97 0.0000040205
98 0.0000033274
99 0.0000024857
o111 o122
0 0.0000000000
1 0.0000000000
2 0.0000000000
3 0.0000000000
4 0.0000000000
5 0.0000000000
6 0.0000000000
7 0.0000000000
8 0.0000000000
9 0.0000000000
10 0.0000000000
11 0.0000000000
12 0.0000000000
13 0.0000000000
14 0.0000000000
15 0.0000000000
16 0.0000000000
17 0.0000000000
18 0.0000000000
19 0.0000000000
20 0.0000000000
21 0.0000000000
22 0.0000000000
23 0.0000000000
24 0.0000000000
25 0.0000000000
26 0.0000000000
27 0.0000000000
28 0.0000000000
29 0.0000000000
30 0.0000000000
31 0.0000000000
32 0.0000000000
33 0.0000000000
34 0.0000000000
35 0.0000000000
36 0.0000000000
37 0.0000000000
38 0.0000000000
39 0.0000000000
40 0.0000000000
41 0.0000000000
42 0.0000000000
43 0.0000000000
44 0.0000000000
45 0.0000000000
46 0.0000000000
47 0.0000000000
48 0.0000000000
49 0.0000000000
50 0.0000000000
51 0.0000000000
52 0.0000000000
53 0.0000000000
54 0.0000000000
55 0.0000000000
56 0.0000000000
57 0.0000000000
58 0.0000000000
59 0.0000000000
60 0.0000000000
61 0.0000000000
62 0.0000000000
63 0.0000000001
64 0.0000000001
65 0.0000000001
66 0.0000000001
67 0.0000000000
68 0.0000000000
69 0.0000000000
70 0.0000000000
71 0.0000000001
72 0.0000000001
73 0.0000000002
74 0.0000000002
75 0.0000000002
76 0.0000000002
77 0.0000000001
78 0.0000000001
79 0.0000000000
80 0.0000000001
81 0.0000000002
82 0.0000000003
83 0.0000000004
84 0.0000000005
85 0.0000000005
86 0.0000000004
87 0.0000000003
88 0.0000000002
89 0.0000000001
90 0.0000000002
91 0.0000000005
92 0.0000000008
93 0.0000000011
94 0.0000000013
95 0.0000000013
96 0.0000000011
97 0.0000000008
98 0.0000000005
99 0.0000000002
o111 o123
0 0.0000000000
1 0.0000000000
2 0.0000000000
3 0.0000000000
4 0.0000000000
5 0.0000000000
6 0.0000000000
7 0.0000000000
8 0.0000000000
9 0.0000000000
10 0.0000000000
11 0.0000000000
12 0.0000000000
13 0.0000000000
14 0.0000000000
15 0.0000000000
16 0.0000000000
17 0.0000000000
18 0.0000000000
19 0.0000000000
20 0.0000000000
21 0.0000000000
22 0.0000000000
23 0.0000000000
24 0.0000000000
25 0.0000000000
26 0.0000000000
27 0.0000000000
28 0.0000000000
29 0.0000000000
30 0.0000000000
31 0.0000000000
32 0.0000000000
33 0.0000000000
34 0.0000000000
35 0.0000000000
36 0.0000000000
37 0.0000000000
38 0.0000000000
39 0.0000000000
40 0.0000000000
41 0.0000000000
